Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
1962,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1962,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1962,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1962,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1962,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1962,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1962,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1962,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1962,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1962,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1962,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1962,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1962,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1962,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1962,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1962,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1962,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1962,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1962,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1962,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1962,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1962,,,,,,,,,,90.00%,>,"$200,000 ",
1962,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1961,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1961,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1961,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1961,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1961,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1961,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1961,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1961,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1961,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1961,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1961,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1961,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1961,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1961,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1961,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1961,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1961,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1961,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1961,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1961,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1961,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1961,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1961,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1961,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1961,,,,,,,,,,90.00%,>,"$200,000 ",
1961,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1960,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1960,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1960,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1960,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1960,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1960,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1960,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1960,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1960,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1960,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1960,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1960,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1960,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1960,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1960,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1960,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1960,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1960,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1960,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1960,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1960,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1960,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1960,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1960,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1960,,,,,,,,,,90.00%,>,"$200,000 ",
1960,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1959,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1959,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1959,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1959,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1959,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1959,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1959,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1959,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1959,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1959,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1959,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1959,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1959,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1959,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1959,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1959,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1959,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1959,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1959,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1959,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1959,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1959,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1959,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1959,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1959,,,,,,,,,,90.00%,>,"$200,000 ",
1959,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1958,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1958,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1958,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1958,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1958,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1958,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1958,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1958,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1958,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1958,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1958,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1958,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1958,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1958,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1958,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1958,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1958,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1958,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1958,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1958,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1958,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1958,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1958,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1958,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1958,,,,,,,,,,90.00%,>,"$200,000 ",
1958,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1957,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1957,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1957,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1957,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1957,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1957,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1957,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1957,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1957,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1957,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1957,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1957,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1957,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1957,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1957,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1957,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1957,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1957,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1957,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1957,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1957,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1957,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1957,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1957,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1957,,,,,,,,,,90.00%,>,"$200,000 ",
1957,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1956,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1956,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1956,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1956,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1956,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1956,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1956,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1956,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1956,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1956,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1956,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1956,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1956,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1956,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1956,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1956,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1956,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1956,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1956,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1956,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1956,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1956,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1956,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1956,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1956,,,,,,,,,,90.00%,>,"$200,000 ",
1956,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1955,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1955,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1955,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1955,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1955,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1955,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1955,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1955,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1955,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1955,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1955,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1955,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1955,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1955,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1955,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1955,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1955,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1955,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1955,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1955,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1955,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1955,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1955,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1955,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1955,,,,,,,,,,90.00%,>,"$200,000 ",
1955,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1954,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,"Last law to change rates was the Internal Revenue Code of 1954, under which the 3 percent normal tax and the surtax rates were combined in a single set of rates and the maximum effective tax on net income was 87 percent of income."
1954,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1954,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1954,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1954,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1954,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1954,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1954,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1954,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1954,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1954,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1954,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1954,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1954,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1954,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1954,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
